topic	katarite	episode
resource/kaigo	df01	あと、やっぱり、あの、嫁ぎ先とここと、うちが2軒あるわけでしょう。と、ここにいるときは、あ、実家にいるときは、当然、嫁ぎ先の親のことが心配になる。向こうにいるときは、逆に実家の親のことが心配になる。どこにいても、常に頭の中には、こう、親、親、親、親、親と初め4人いるわけですもんね。何か、それが、こう、常にのし、のしかかってくるっていうかね。それで、中には、ほら、「もう、お嫁に行ったんだから、実家のことにいつまでもかかわりあっているもんじゃないよ」って言われたりしたんですけど。ま、それに対してはね、今、自分は、実家に行く力があるし、環境もね、整っているから行かしてもらうんで。何もね、あの、外部にいるね、あなたに言われる筋合いはないわということで、もう、ほんとに、実家の介護頻繁に来ているもんですからね。もう、こっちもね、いざ、あの、もめるんだったら、もう離婚してもいいわぐらいの、そういう覚悟でね、頻繁にきているんです。はい、もう、いざとなったら、自分は悪いことしているわけじゃないからね、そんなにあれだったらって、思うぐらいの、あれできているんですけど。でも、幸いなことにね（笑）、夫がすごくいい、いい人で、あの、母もいい人でね、うん、悔いのないように行っておいで」って言ってもらえるんで感謝、はい。
resource/service	df01	―― あの、最初からすぐにそのケアマネさんですとかですね、介護保険だとか。はい、ええ、ええ。―― そういうところに、こう、あのー、相談に行くことってできましたか？　何か。え、あ、ていうのはね、あの、嫁ぎ先の父がですね、やはり、あのー、ちょっと長い間、闘病したんですよね。で、そのときに、向こうのほうで、あの、ケアマネジャーさんていう方が、いらっしゃるとかね、あの、病院もですね、いろんな病院があるっていうことは、あの、友達に相談したんです。え、おかげさまでね、あの、わたしの友達たくさん介護しているんですよ。それでね、「こうなんだけど、どうしたらいい？」って、で、みんな教えてくれてね、助かったんです、はい。それでね、あの、そういうのがあったんで、あー、うちの両親の場合は、わたしが威張ってですね、「ねえ、こういうのがあるんだよ」って、「こういうのがあんだよ」って妹たちにね、威張ってね、教えてやって、ちょっと、いい思いさせてもらいました、はい。ですからね、やっぱり、情報をね、あの、いかにして得るかって重要なことですね。あの、知らないと損をしますでしょう。いろんなことに対して、全てなんですけど。で、それは、やっぱり、自分のうちが、あの、こういう状態なんだよっていうことを恥ずかしがって隠しているとですね、情報もらえない、うん。だから、それをあえてね、「今、うちは、あの、こういう状態なんだよって、すごく困っているんだわ」っていうことをね、あの、情報を開示する。そうすると、それに対してね、「あ、それなら、いい手があるんだよ」って「こういうのがあるんだよ。これ使いなさいよ」って教えてくれる、うん。ほんで、それを使ったら、じゃ、どうだったかっていうことを、また報告するでしょう。うーん、それで、また、そこでいろんな話ができて、あの、自分の愚痴も聞いてもらえる、うん。で、「あなた、そうやってやるからおかしいんだよ」って教えてもらったりですね。あの、ま、やっぱり、そういう下地があったんで、今回の介護は、スムーズにこういうのがあるなって分かりました。うん。
to-be-carer/kimoti	df01	それで、まあ、2人とも、あの、認知症っていう病名をもらったんですけれども、2人とも、すごく働き者だったんですよ。で、母はね、朝早くから1人で玄関の鍵を開けて、そこら辺一周して、まだ、私たちが寝ているときにね、うーん、あの、そうやって体操したり運動したりしていたし。父は、畑仕事してたんですよね。ですから、、ま、からだ、身体的な病気はね、もらうことはあるだろうけれども、脳に関する病気ですね、それがねえ、あの、もらうとは夢にも思わなかったです。ええ、あれだけ、子どもたちがいないから緊張して生活していますでしょう。で、もともと、からだも動かしていたから、絶対に、うちの両親はね、認知症にはならないんだわって思っていたんですよね。
to-be-carer/work	df01	わたしの友達はですね、あのー、ヘルパーさんを上手に利用していますね。おむつの交換に頼んだりですね、そういうのやっているんですけど、うちの場合は、やっぱり、あのー、両親がね、こう、他人さまをこう入れたくないっていう気持ちが、やっぱり、あるもんですから。どうして、こんな知らない人がいるのって。変な人がいるよって、怪しい人がいるよってなると、パニック起こすでしょう。ですから、それができないから、自分がそうですね、勤めて、自分の勤め、勤め方を大幅に、うーん、例えば、週３回しか行かないとか。それしかできないですね。時間短縮するっていうことは、無理ですもんね。通わなきゃいけないから。休みは休み、働くなら残業してもいいからみっちり働く。うーん、だから、週の３回は全然行かないよとか、そういうかたちをとれば、ま、実際にそういうかたちとったんですけれども。それで、それを利用して、通ってこれたんですけど。仕事の内容によってはね、やっぱり、そんなことを言うんだったら辞めてもらいたいようなこと言われるところもあるだろうから。うーん、ヘルパーさん入れたり、訪問看護さん入れたりそういうこと考えないと無理かもしれないよね。
to-be-carer/kattou	df01	例えばね、同じ介護していても、あの、隣のおじさん隣のおばさん、うん、そういう人がだんだんだんだん悪くなっていく場合には、ああ、教科書に書いてある通りだな、本に書いてある通りに悪くなっていくんだなって、こう客観的に見れますよね。ですけれども、こと、自分の親になりますとね、感情がそこへ入ってしまって、いやあ、大変です。うーん、それで、よくなってもらいたい、元気になってもらいたいっていう期待感もあるし、あんなにしっかりしていた親がさ、「何でこうなるの？」って。「昨日できたことが何で今日できないの？」って。「昨日まで錠剤飲み込めていたのに、今日は錠剤飲み込めない。どうして水と一緒にのどへ行けないの？」って。「昨日、分かったトイレの位置がどうして分からないの？」って。「毎日通ってるところじゃない？」とかね、いろいろね、あの、自分自身も葛藤がある。それで、あの、自分がこれから行く通るであろう道を見せてもらっているわけですから。自分も切ないんですよ。こうなっていくのかって。だから、元気になってもらいたい。よくなってもらいたいっていう期待感があるもんですから。こう、強く言いすぎるところがあるんです。ええ。声が大きくなったり、「そうじゃないよ、こうだよ」って。あの、母なんか補聴器両方しているんですよね。それで、寝るときは落とすもんですから、片側の補聴器はずして左だけの補聴器なんですね。で、それもあるんだから、しゃべるときの声が大きくなるし、ゆっくりは話しするようにはしているんですけれども、あ、会話が、やっぱりどうしてもとんちんかんになったりして。もう、ねえ、感情が入るから切ない。
to-be-carer/kattou	df01	あの、こたえたなっていうのはね、あの、やっぱり、自分が、例えば、母に対して、ちょっと、荒っぽい介護をしたんでしょうね。こう、トイレ行って、こう、パンツをあげてあげるときに、こう優しくあげないで、ぱっぱっぱっぱっとあげて、ま、ようするに雑にしたっていうことですかね。そのときに、あ、ちょっと、母と言い合いになったんですよ。で、わたしもいつもなら流すんですけど、そのときは、もう流せなくて、もう、本気で、言い、言い合いしたんです。ていうのは、「子どもだから、みるのが当たり前だ」って母に言われたんです。「えー、そんなこと思っていたの？」って。うん、「だって、子どもだってね、必ずね、あの、親の介護するとは限らないのよ」って。「こんなに頑張っているのにそんなこと言うの？」っていうような感じでね。あの、「それ、当たり前だ」って言われたときがね、やっぱり、きつかったですよね。それで、「ひとりで大きくなったような顔をして」とかね。まあ、あの、だから、母もストレスたまっていたんでしょうね。うーん、あの、デイサービス行ったりショート行ったりして、あの、ストレスたまっている。で、普段介護してもらっているときにはね、頻繁に「ありがとう、ありがとう」って言うんですよ。ですから、あの、感謝の気持ちがあっているんだけれども、あまりにも、こう、荒っぽくされたのが引き金になって爆発したんでしょうね。だもんだから、売り言葉に買い言葉みたいになっちゃってね。わたしもね、「そういうお母さんはね、自分の親の面倒みたの」って「みたわね」って「うそ八百、全然みてないじゃん」っていう感じで。父のときもやっぱりねえ、そういうような会話で、ま、それぞれ１回ずつだったんですけど。まあ、本音トークといいますかね、まあ、「当たり前だ」て言われると、親は、子どもにね――ま、今度、自分が、介護される側になったときですよね――子どもにあんまり負担かけたくないなって、今、思っているわけなんですけど。んなもんだから、「親がそんなに100％子どもに甘えていいの？」っていうようなね、気持ちがぱあっと出たんですよね。うーん、で、ほんとは言っちゃいけなかったんだけど、そのあとですね。もう、「そんなこと言った覚えないわ」っていう感じで一生懸命やっている。もう、口から出たことは仕方ないから、うーん、一生懸命やって、ま、ご破算にしてもらうっていうことですかね。ま、それぐらいかな、うーん、あの、辛かったのはね。はい。
to-be-carer/kattou	df01	うーん、だから、これ、１人で１人を見るとかね、うーん。……それこそね、ついつい…手が出て足が出るんじゃないでしょうかね？ええ。やっぱり、あの、聞こえなかったりするもんだから、「お母さん、ここ、こっちよ、こっちよ」ってこう手を触って「こっちよ、こっち、こっち、手」って、自分にすれば手触っているつもりなんだけど、これが、ちょっと力が入りますと叩いていることになりますもんね。「痛いわ」って言われたことも多々あります、ええ。それで、やっぱり、パンツなんかも、早く上げないと、あの、また漏れてくるし、風邪引くでしょう。だから、早く早くってやっていると、ついつい、ねえ。うーん、お尻もぺんぺんと、一個で、ぺんでやめればいいのにぺんぺんとなったりね。そういうのが、やっぱりね、ひどくなると思う。うーん、だから、１人じゃできないです。はい。
to-be-carer/sinkou	df01	うーん、やっぱり、あの、例えば、病院に……入れられてっていうか、ま、病院に入ってですね、徘徊するから手を縛って動けなくするとかですね。ええ。あと、栄養が摂れないから、まあ、どんなやり方があるんかよく分りませんけど、いろんなやり方ありますよね、栄養の摂り方。まあ、あの、年齢的なものもありますから、うん、例えば、胃ろうとかね、それは反対じゃないんですけれども、やっぱり、できるだけですね、あの、自然なかたちを望んでいるんです。ですから、なるべく、あの、何かあったらすぐ救急車で運ぶんじゃなくて、ま、できたら、うちで、あの、ま、穏やかに、うん、自然にこう細胞が小さくなって枯れていけばいいなあって、うーん、うん。ですから、あの、わたしもね、両親のこと思ってて、今のうちに、あの、夫に（自分のことを）話してあるんです。もし、自分が植物人間みたいになったら、あの、そういうのは嫌だからねって。一切、管（かん）につながれたり、あの、栄養入れたりするのは、あの、嫌だから、それは、あの、はずしてくださいって。うん、ただ、痛みがあるときは嫌だから、痛みだけ取ってもらえば、あとは、あの、そういう、例えば、心臓が止まりそうになったらですね、あの、子どもに一目、あの、会いたいだろうと。子どもが遠くから来るだろうから、その子どもに一目会わせたいがために、強心剤打ったり、心臓マッサージ、よく分らないで話しているんですよ、想像ですから。そういうことをするんであれば、「お父さん止めてちょうだい」って「わたしねえ、あの、静かに死なせてもらいたい」って。うん、「子どもが駆けつけてくるのはね、あの、自分が呼吸止まっても、空から見えるんだよ」って、「子どもが頑張っているの上から見えるから、あの、無理にね、肉体だけを生かすっていうことは、あの、止めてほしい」って、今からお願いしてあるの。で、「お父さんはどう」って言ったら、「おれもそうだ」って言うからね。あの、父と母のことを見て、あの、自分たちの、あの、生き様をね、あの、決めているところなんですね。だから、実際にうちの父と母は、まあ、あの、元気なうちに少しずつ聞いているんですね。あの、こういうことをしてまでして、こう、命をね、長らせたいかとかですね、そしたら、「そういうのはしないでほしい」って、まあ、言っているもんですから。できるだけ、自然なかたちで、あの、苦痛なくですね。
diagnosis/hiyaku	df02	まあ、最近ね、よくテレビでもやってるでしょう、認知症の。ほんで、あの、先般も認知症の、効果が出てくる、認知症、何かわたしメモ…したんですけども。その10ヵ条いうのを、７ヵ条か。７ヵ条あって、散歩をしましょう、交通機関利用しましょう、ほんで、一口日記（一行日記のこと）を毎日書くか、おしゃれをする。それから、新聞を声を出して読む、それから、うーんと、何やったね、あ、あ、うーんと、交友環境を広める。それから、もう一つ何かあった、あ、お料理。お料理が一番頭にはいいと。この７項目をテレビでやっていたのを書いて、それで、主人に見せたのね。それ、全然、そんなもんね、見向きもしないけれども。最近ね、だから、あの、散歩…１人では絶対できないんですよ。でも、わたしの同級生が、あの、近くにいて、毎日ね、呼びに来てくださるんです。で、その他の人も、「散歩しょう、散歩しなあかん、散歩しなあかん」どれくらい言われるか分らんけども、自分と話が合わないと嫌になったり。だから、もう、わたしの同級生で心やすくしているから、で、その人たちが、毎日それこそ、３時か４時ごろに、ま、４キロ弱のところ、あすこへ連れて行ってくださるの。そういうのが、３月２月の終わりごろから、毎日続いているもんで、それで、すごく、ちょっと変わってきて。―― そうでしょうね、うーん。暮れからね、あの、一口日記も、わたしが、３月からもう、「頼む、一口でいいから」ってノート与えたんです。もう、とにかく、予定もカレンダーにも書かないし、で、あの、「書いて」って言ったらね、全然、書かなかったんです。で、この前も、あの、「給油はするけれども、一口日記を書いてくれたら、わたしが給油しますけれども」って書いたら、そしたら、そのときに、ちょちょちょって書いてあって、で、「給油してくれてありがとう」いうて書いてあったから、「あ、あんた、ありがとうって言ってくれたの、うれしいわ」いうて書いて。で、また（介護者が）ずうっと書いていたけど、まだ、か、（本人は）全然書けてない。
symptom/kioku	df02	やっぱり、そうやって日にちがぼけてきてからはね。ま、とにかく、そうやって、もう、ほんとに、去年のね、11月１日に、町のほうで長年やってきたもんで表彰式があったんね。そのときなんか、やっぱり、昔のイメージは、自分の昔のイメージがすごくあるもんで、10月の15日から、毎日スーツ着て出かけるんですよ。夜中から起きてきて着替えして。そんな、きょう、何にもやと言っとると、あの、招待状をね、こうやって誰にでも見せてね。「実は、きょう、こうふうに書いてあるで」って。「違うってAちゃん、これは、11月１日やで」「そんなことねえ」って。でも、みんなほかっていかるけども（ほおっておかれるけれど）。そういうふうでね、もう、15日間毎日そうでしたし、その月にちょうど町内の旅行がある、老人会の旅行があるって言ったときも、もう、28日、10月の末でしたのに、旅行の案内見せてもらったら、その日から５日間ぐらい、毎日、出かけたり、それをまた役員さんとこへ行って聞きに行くの。毎日。―― そうですか。「違う」って、「まんだ先なんで、わたしがちゃんとその日を教えてあげるでいい」って言っても、それがもう毎日。もう、頭ん中に入ってしまやね。―― そうですねえ。で、ある人が、「きょうは違う」ってカレンダー持ってみえや、「お前んとこのカレンダー違う、うちのカレンダー合っとる」とか、「ほんなんやったら、新聞、きょうの新聞」って(見せると)「その新聞が違っとる」ってもう喧嘩腰で。「もう、お前みたいなの来るな」いうてどんだけ近所の人に言われたかもしれない。
resource/tutaeru	df02	やっぱ、ただ、ほんとにうれしいのは、周囲の助けで歩けるようになったことだけ。歩いてくれるようになったこと。最近のあの。―― お散歩で。お散歩に、周囲が助けてくれて。―― はい、はい、はい、はい、はい。だから、ほんとに、あの、町内にわたしの同級生、男の子ですよ。わたしら、６人ばかりでね、で、あと嫁いでまって、地元にはいつきとん（居ついている）のがわたし１人だけなんね。で、きのう、夕べも、「わたしが女番長やでね」って言うぐらいの、やっぱり、みんながね、何か助けてくださるの。…で、わたしら、男女関係なし、すぐ隣も友達だし、で、同じ、わたしのその７組いう組に、同級生２人いるのね。もう一つ６組のに１人いるの。で、あとは、またいとこになる子が１人いるの。もう、みんな何かね、仲良しでね。―― じゃ、ほんとに、気ごころもしれて。全部、そう、そう。―― あの、遠慮しなくてもできる人たち。そう、できる。―― が周囲にいるっていうことですね。そう、うん。だから、ほんとに、「Aちゃん（夫の名前）、きょう行けへんか」言って。「ちょっと、待っとってよ、お父さん聞いてくるから」「おう、行く」「ほな頼むね」って。だからね、喜んで、何かね、同じように話して。同じように受け入れてくれなさって、で、ぼけとるところも受け入れてくださって、なにけでもしゃべっとっても受け入れとってくださるのね。―― あーん、それありがたいですね。ねえ、ほんで、やっぱり、そのね、奥さんともやっぱり仲良くできるのね、そういうふうで。うん、で、「うちの主人だってこういうふうだよ、いいって…。Aちゃん来たら言ってたるわい(言っておく)から」「頼むよ」ってこういうふうで。ほんとにね、あの、何ていうのかな、お店やってるおかげもあってねえ、立ち話でもう自由に、ほんと、皆さん、言ってくださるの。
diagnosis/hajimari	df03	診断は２年前なんですけど、多分、その２～３年前には、何かいろいろあったような気がするんです。あったんだろうなと思うんですけど、それが、……何かその認知症かどうかっていうようなふうにはみんなとらえてはなかったんじゃないかと思うんですね、うん。―― やはり、そのもの忘れというか。置き忘れとかはね、結構あったと思うんですよ、うん。でも、それ、普通の人もよくやりますからね、だから、境目が分からないので、気にしてなかったですけど、うん。でも、早期発見って言われてますからね。何か、あれじゃないですか、ある程度年いったら、人間ドックのメニューの中に、あの、脳のＭＲＩとか長谷川式（認知症スケール）とかオプションでいれたらいいですよね、うーん。…そうすると、何かそこでこう、萎縮が見つかったりするかもしれないので、あるといいですよね、45から上とかね。
diagnosis/hajimari	df03	ま、わたしは、多少、何か忘れっぽいなーとか、ま、ちょっとあったんですけど。年も、ま、そんなに若く…若くないので…かなと思って、別に気にしてなかったんですけど、会社の方が、何か、ちょっと忘れっぽいところがあるし、あの、おかしい気がするから、病院に行ったらどうかと、いうふうに言っていただいて。で、あの、健康保険組合のほうから、えー、心療内科のある、市立病院なんですけど、そこを紹介していただいて、紹介状書いていただいて、そこに行って検査をしたんですね。ま、ＭＲＩだとか、脳波とか、何か五つぐらいやったのかな、五つぐらいの検査をしたところ、あの、診断がでまして、若年性アルツハイマーですと。海馬の萎縮が見られるんですっていう診断をいただいたっていう感じです。
