STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,SEX,Sex,AGE,Age,TENURE,Job tenure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,Y_1T9,From 1 to 9 years,A,Annual,2022,,4.70661211013793,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2018,,0.245,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2017,,0.245,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2016,,0.244,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2023,,0.301,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2022,,0.292,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2021,,0.293,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2020,,0.304,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2023,,11.152,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2022,,11.431,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2021,,11.346,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2020,,11.369,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2019,,11.161,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2018,,11.243,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2017,,11.45,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,BEL,Belgium,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,TOTD,Total declared,A,Annual,2016,,11.628,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2015,,0.297,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2023,,0.266,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2022,,0.289,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2021,,0.292,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2020,,0.292,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2019,,0.303,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2018,,0.297,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2017,,0.291,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2015,,0.694,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2023,,0.745,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2022,,0.693,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2021,,0.698,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2020,,0.697,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2019,,0.695,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2018,,0.696,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,PRT,Portugal,TENURE_EMP,Employment tenure,Y,Years,M,Male,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2017,,0.694,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2015,,0.701,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2023,,0.755,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2022,,0.686,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2021,,0.687,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2020,,0.708,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2019,,0.706,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2018,,0.709,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,MLT,Malta,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2017,,0.691,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2015,,0.699,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2023,,0.736,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2022,,0.697,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2021,,0.697,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2020,,0.707,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2019,,0.692,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2018,,0.697,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,AUT,Austria,TENURE_EMP,Employment tenure,Y,Years,F,Female,_T,Total,M_6T11,From 6 to 11 months,A,Annual,2017,,0.693,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2015,,10.36,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2023,,10.994,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2022,,10.998,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2021,,10.943,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2020,,10.834,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2019,,10.542,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2018,,10.323,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,CZE,Czechia,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,TOTD,Total declared,A,Annual,2017,,10.238,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2017,,0.243,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2016,,0.244,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.ELS.SAE:DSD_TENURE@DF_TENURE_AVE(1.0),Employment by job tenure intervals - average job tenure,I,GBR,United Kingdom,TENURE_EMP,Employment tenure,Y,Years,_T,Total,_T,Total,M_1T5,From 1 to 5 months,A,Annual,2023,,0.298,,A,Normal value,0,Units,1,One
